"id";"cpuPercent";"cpuFreq";"ramPercent";"ramBytes";"discoPercent";"discoBytes";"downloadMbps";"uploadMbps"
168;100.0;2201.0;66.0;11326222336.0;54.0;134170935296.0;373.96;28.0
169;75.0;2201.0;66.0;11325624320.0;54.0;134170935296.0;373.96;28.0
170;62.5;2201.0;66.0;11325526016.0;54.0;134170935296.0;373.96;28.0
171;61.5;2201.0;66.0;11325526016.0;54.0;134170935296.0;373.96;28.0
172;87.5;2201.0;66.0;11325173760.0;54.0;134170935296.0;373.96;28.0
173;100.0;2201.0;66.0;11324846080.0;54.0;134170935296.0;373.96;28.0
174;100.0;2201.0;66.0;11324846080.0;54.0;134170935296.0;373.96;28.0
175;41.7;2201.0;66.0;11324846080.0;54.0;134170935296.0;373.96;28.0
176;50.0;2201.0;66.0;11324833792.0;54.0;134170935296.0;373.96;28.0
177;100.0;2201.0;66.0;11324821504.0;54.0;134170935296.0;373.96;28.0
178;100.0;2201.0;66.0;11324821504.0;54.0;134170935296.0;373.96;28.0
179;100.0;2201.0;66.0;11324530688.0;54.0;134170935296.0;373.96;28.0
180;100.0;2201.0;66.0;11324530688.0;54.0;134170935296.0;373.96;28.0
181;100.0;2201.0;66.0;11324514304.0;54.0;134170869760.0;373.96;28.0
182;100.0;2201.0;66.0;11323977728.0;54.0;134170935296.0;373.96;28.0
183;100.0;2201.0;66.0;11323981824.0;54.0;134170935296.0;373.96;28.0
184;62.5;2201.0;66.0;11323981824.0;54.0;134170935296.0;373.96;28.0
185;50.0;2201.0;66.0;11323891712.0;54.0;134170935296.0;373.96;28.0
186;87.5;2201.0;66.0;11323351040.0;54.0;134170935296.0;373.96;28.0
187;75.0;2201.0;66.0;11323285504.0;54.0;134170935296.0;373.96;28.0
188;83.3;2201.0;66.0;11320795136.0;54.0;134170935296.0;373.96;28.0
189;100.0;2201.0;66.0;11327262720.0;54.0;134171000832.0;373.96;28.0
190;100.0;2201.0;66.0;11325104128.0;54.0;134171070464.0;373.97;28.0
191;62.5;2201.0;66.0;11325075456.0;54.0;134171070464.0;373.97;28.0
192;100.0;2201.0;66.0;11324448768.0;54.0;134171070464.0;373.97;28.0
193;75.0;2201.0;66.0;11323719680.0;54.0;134171070464.0;373.97;28.0
194;62.5;2201.0;66.0;11323711488.0;54.0;134171070464.0;373.97;28.0
195;83.3;2201.0;66.0;11323473920.0;54.0;134171070464.0;373.97;28.0
196;100.0;2201.0;66.0;11322855424.0;54.0;134171070464.0;373.97;28.0
197;100.0;2201.0;66.0;11322785792.0;54.0;134171070464.0;373.98;28.0
198;100.0;2201.0;66.0;11321946112.0;54.0;134171070464.0;373.98;28.0
199;100.0;2201.0;66.0;11321569280.0;54.0;134171070464.0;373.98;28.0
200;87.5;2201.0;66.0;11321335808.0;54.0;134171070464.0;373.98;28.0
201;50.0;2201.0;66.0;11321323520.0;54.0;134171070464.0;373.98;28.0
202;87.5;2201.0;66.0;11321380864.0;54.0;134171070464.0;373.98;28.0
203;87.5;2201.0;66.0;11321229312.0;54.0;134171070464.0;373.98;28.0
204;75.0;2201.0;66.0;11321757696.0;54.0;134171070464.0;373.98;28.0
205;83.3;2201.0;66.0;11322028032.0;54.0;134171070464.0;373.99;28.0
206;100.0;2201.0;66.0;11321995264.0;54.0;134171070464.0;373.99;28.0
207;83.3;2201.0;66.0;11292155904.0;54.0;134171070464.0;373.99;28.0
208;91.7;2201.0;66.0;11292282880.0;54.0;134171070464.0;373.99;28.0
209;100.0;2201.0;66.0;11293552640.0;54.0;134171070464.0;373.99;28.0
210;100.0;2201.0;66.0;11294826496.0;54.0;134171070464.0;373.99;28.0
211;62.5;2201.0;66.0;11302891520.0;54.0;134171070464.0;373.99;28.0
212;62.5;2201.0;66.0;11302862848.0;54.0;134171070464.0;373.99;28.0
213;83.3;2201.0;66.0;11302121472.0;54.0;134171070464.0;373.99;28.0
214;83.3;2201.0;66.0;11302105088.0;54.0;134171070464.0;373.99;28.0
215;87.5;2201.0;66.0;11302064128.0;54.0;134171070464.0;373.99;28.0
216;100.0;2201.0;66.0;11301347328.0;54.0;134171070464.0;373.99;28.0
217;100.0;2201.0;66.0;11301167104.0;54.0;134171070464.0;373.99;28.0
218;75.0;2201.0;66.0;11301400576.0;54.0;134171070464.0;373.99;28.0
219;62.5;2201.0;66.0;11301220352.0;54.0;134171070464.0;373.99;28.0
220;84.6;2201.0;66.0;11300753408.0;54.0;134171082752.0;373.99;28.0
221;91.7;2201.0;66.0;11299119104.0;54.0;134171082752.0;373.99;28.0
222;100.0;2201.0;66.0;11297505280.0;54.0;134171082752.0;373.99;28.0
