"id";"cpuPercent";"cpuFreq";"ramPercent";"ramBytes";"discoPercent";"discoBytes";"downloadMbps";"uploadMbps";"dataHora"
34;6.2;2304.0;83.0;6971224064.0;41.0;211108397056.0;724.5;33.61;"2025-04-09 12:54:05"
35;28.1;2304.0;83.0;6971146240.0;41.0;211108397056.0;724.5;33.61;"2025-04-09 12:54:05"
36;27.8;2304.0;83.0;6971121664.0;41.0;211108397056.0;724.5;33.61;"2025-04-09 12:54:05"
37;7.1;2304.0;83.0;6971060224.0;41.0;211108397056.0;724.5;33.61;"2025-04-09 12:54:05"
38;5.9;2304.0;83.0;6971027456.0;41.0;211108397056.0;724.5;33.61;"2025-04-09 12:54:05"
39;5.3;2304.0;83.0;6970957824.0;41.0;211108397056.0;724.5;33.61;"2025-04-09 12:54:05"
40;39.1;2304.0;83.0;6970929152.0;41.0;211108397056.0;724.5;33.61;"2025-04-09 12:54:05"
41;4.2;2304.0;83.0;6970986496.0;41.0;211108397056.0;724.5;33.61;"2025-04-09 12:54:05"
42;13.3;2304.0;83.0;6970937344.0;41.0;211108413440.0;724.5;33.61;"2025-04-09 12:54:05"
43;15.0;2304.0;83.0;6970912768.0;41.0;211108413440.0;724.5;33.61;"2025-04-09 12:54:05"
44;6.2;2304.0;83.0;6970773504.0;41.0;211108413440.0;724.5;33.61;"2025-04-09 12:54:05"
45;6.9;2304.0;83.0;6970376192.0;41.0;211108413440.0;724.5;33.61;"2025-04-09 12:54:05"
46;20.0;2304.0;83.0;6970372096.0;41.0;211108413440.0;724.51;33.61;"2025-04-09 12:54:05"
47;52.4;2304.0;83.0;6970281984.0;41.0;211108413440.0;724.51;33.61;"2025-04-09 12:54:05"
48;10.3;2304.0;83.0;6967455744.0;41.0;211108413440.0;724.51;33.61;"2025-04-09 12:54:05"
49;25.0;2304.0;83.0;6967451648.0;41.0;211108413440.0;724.51;33.61;"2025-04-09 12:54:05"
50;4.2;2304.0;83.0;6967123968.0;41.0;211108413440.0;724.52;33.61;"2025-04-09 12:54:05"
51;4.5;2304.0;83.0;6967078912.0;41.0;211108413440.0;724.52;33.61;"2025-04-09 12:54:05"
52;18.8;2304.0;83.0;6966910976.0;41.0;211108413440.0;724.52;33.61;"2025-04-09 12:54:05"
53;5.6;2304.0;83.0;6966870016.0;41.0;211108413440.0;724.52;33.61;"2025-04-09 12:54:05"
54;6.2;2304.0;83.0;6966824960.0;41.0;211108413440.0;724.52;33.61;"2025-04-09 12:54:05"
55;16.7;2304.0;83.0;6966611968.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:05"
56;18.2;2304.0;83.0;6966452224.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:05"
57;5.3;2304.0;83.0;6966448128.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:05"
58;6.2;2304.0;83.0;6966448128.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:05"
59;15.4;2304.0;83.0;6966378496.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:05"
60;11.1;2304.0;83.0;6966378496.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:05"
61;5.0;2304.0;83.0;6966337536.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:05"
62;12.5;2304.0;83.0;6966280192.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:06"
63;6.2;2304.0;83.0;6966280192.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:06"
64;6.2;2304.0;83.0;6966243328.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:06"
65;33.3;2304.0;83.0;6966231040.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:06"
66;4.3;2304.0;83.0;6966231040.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:06"
67;6.2;2304.0;83.0;6966231040.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:06"
68;6.2;2304.0;83.0;6972428288.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:06"
69;15.4;2304.0;83.0;6972428288.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:06"
70;4.8;2304.0;83.0;6972383232.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:06"
71;5.9;2304.0;83.0;6971068416.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:06"
72;18.8;2304.0;83.0;6970990592.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:06"
73;6.2;2304.0;83.0;6970990592.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:06"
74;19.4;2304.0;83.0;6970974208.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:06"
75;8.3;2304.0;83.0;6970757120.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:06"
76;4.3;2304.0;83.0;6970744832.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:06"
77;17.6;2304.0;83.0;6970617856.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:06"
78;6.2;2304.0;83.0;6970605568.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:06"
79;13.6;2304.0;83.0;6970408960.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:06"
80;3.8;2304.0;83.0;6970224640.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:06"
81;6.2;2304.0;83.0;6969831424.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:06"
82;23.5;2304.0;83.0;6969450496.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:06"
83;17.6;2304.0;83.0;6969286656.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:06"
84;12.0;2304.0;83.0;6969085952.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:06"
85;4.3;2304.0;83.0;6969032704.0;41.0;211108413440.0;724.54;33.61;"2025-04-09 12:54:06"
86;17.6;2304.0;83.0;6968545280.0;41.0;211108446208.0;724.54;33.61;"2025-04-09 12:54:06"
87;6.2;2304.0;83.0;6968541184.0;41.0;211108446208.0;724.54;33.61;"2025-04-09 12:54:06"
88;6.2;2304.0;83.0;6968528896.0;41.0;211108446208.0;724.54;33.61;"2025-04-09 12:54:06"
89;6.2;2304.0;83.0;6968455168.0;41.0;211108446208.0;724.54;33.61;"2025-04-09 12:54:06"
90;6.2;2304.0;83.0;6968446976.0;41.0;211108446208.0;724.54;33.61;"2025-04-09 12:54:06"
91;6.2;2304.0;83.0;6968295424.0;41.0;211108446208.0;724.54;33.61;"2025-04-09 12:54:06"
92;18.8;2304.0;83.0;6968336384.0;41.0;211108446208.0;724.54;33.61;"2025-04-09 12:54:06"
